drug_name,synonyms,convention_schedule,cas_number,notes,source_url,raw_text,fetched_at
KETOBEMIDONE,,Schedule I (1961),469-79-4,4-m-hydroxyphenyl-1-methyl-4-propionylpiperidine,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NK 001 469-79-4 KETOBEMIDONE 4-m-hydroxyphenyl-1-methyl-4-propionylpiperidine,2026-04-24T17:19:40.499545+00:00
LEVOMETHORPHAN2,,Schedule I (1961),125-70-2,(-)-3-methoxy-N-methylmorphinan,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NL 004 125-70-2 LEVOMETHORPHAN2 (-)-3-methoxy-N-methylmorphinan,2026-04-24T17:19:40.499545+00:00
LEVOMORAMIDE,,Schedule I (1961),5666-11-5,"(-)-4-[2-methyl-4-oxo-3,3-diphenyl-4-(1-pyrrolidinyl)butyl]morpholine",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NL 005 5666-11-5 LEVOMORAMIDE (-)-4-[2-methyl-4-oxo-3,3-diphenyl-4-(1-pyrrolidinyl)butyl]morpholine",2026-04-24T17:19:40.499545+00:00
LEVOPHENACYLMORPHAN,,Schedule I (1961),10061-32-2,(-)-3-hydroxy-N-phenacylmorphinan,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NL 006 10061-32-2 LEVOPHENACYLMORPHAN (-)-3-hydroxy-N-phenacylmorphinan,2026-04-24T17:19:40.499545+00:00
LEVORPHANOL2,,Schedule I (1961),77-07-6,(-)-3-hydroxy-N-methylmorphinan,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NL 007 77-07-6 LEVORPHANOL2 (-)-3-hydroxy-N-methylmorphinan,2026-04-24T17:19:40.499545+00:00
METAZOCINE,,Schedule I (1961),3734-52-9,"2-hydroxy-2,5,9-trimethyl-6,7-benzomorphan",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NM 001 3734-52-9 METAZOCINE 2-hydroxy-2,5,9-trimethyl-6,7-benzomorphan",2026-04-24T17:19:40.499545+00:00
METHADONE,,Schedule I (1961),76-99-3,"6-dimethylamino-4,4-diphenyl-3-heptanone",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NM 002 76-99-3 METHADONE 6-dimethylamino-4,4-diphenyl-3-heptanone",2026-04-24T17:19:40.499545+00:00
METHADONE INTERMEDIATE,,Schedule I (1961),125-79-1,"4-cyano-2-dimethylamino-4,4-diphenylbutane",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NM 003 125-79-1 METHADONE INTERMEDIATE 4-cyano-2-dimethylamino-4,4-diphenylbutane",2026-04-24T17:19:40.499545+00:00
METHOXYACETYLFENTANYL,,Schedule I (1961),101345-67-9,2-Methoxy-N-phenyl-N-[1-(2-phenylethyl)piperidin-4- yl]acetamide,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NM 044 101345-67-9 METHOXYACETYLFENTANYL 2-Methoxy-N-phenyl-N-[1-(2-phenylethyl)piperidin-4-
yl]acetamide",2026-04-24T17:19:40.499545+00:00
METHYLDESORPHINE,,Schedule I (1961),16008-36-9,6-methyl-∆6-deoxymorphine (derivative of morphine),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NM 004 16008-36-9 METHYLDESORPHINE 6-methyl-∆6-deoxymorphine (derivative of morphine),2026-04-24T17:19:40.499545+00:00
