id,regulation,category,chemical_name,cas_number,cn_code,notes,source_url,raw_text,fetched_at
332cfcc72aaf1442,111/2005,1,Lysergic acid,82-58-6,2939 63 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Lysergic acid | nan | 2939 63 00 | 82-58-6,2026-04-24T17:20:34+00:00
74774cb0a3f65c38,111/2005,1,"(1R,2S)-(-)-chloroephedrine",110925-64-9,2939 79 90,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,"(1R,2S)-(-)-chloroephedrine | nan | ►M4 2939 79 90 ◄ | 110925-64-9",2026-04-24T17:20:34+00:00
589193bebdc7e0a7,111/2005,1,"(1S,2R)-(+)-chloroephedrine",1384199-95-4,2939 79 90,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,"(1S,2R)-(+)-chloroephedrine | nan | ►M4 2939 79 90 ◄ | 1384199-95-4",2026-04-24T17:20:34+00:00
44c964e76d8f5af1,111/2005,1,"(1S,2S)-(+)-chloropseudoephedrine",73393-61-0,2939 79 90,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,"(1S,2S)-(+)-chloropseudoephedrine | nan | ►M4 2939 79 90 ◄ | 73393-61-0",2026-04-24T17:20:34+00:00
649bf8915d11173e,111/2005,1,"(1R,2R)-(-)-chloropseudoephedrine",771434-80-1,2939 79 90,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,"(1R,2R)-(-)-chloropseudoephedrine | nan | ►M4 2939 79 90 ◄ | 771434-80-1",2026-04-24T17:20:34+00:00
27eefba3283cea06,111/2005,2,Red phosphorus,7723-14-0,2804 70 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Red phosphorus | nan | 2804 70 00 | 7723-14-0,2026-04-24T17:20:34+00:00
6119fc64c8f2a462,111/2005,2,Acetic anhydride,108-24-7,2915 24 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Acetic anhydride | nan | 2915 24 00 | 108-24-7,2026-04-24T17:20:34+00:00
2b311987d9430ac1,111/2005,2,Phenylacetic acid,103-82-2,2916 34 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Phenylacetic acid | nan | 2916 34 00 | 103-82-2,2026-04-24T17:20:34+00:00
6f15237fb9589abb,111/2005,2,Anthranilic acid,118-92-3,2922 43 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Anthranilic acid | nan | ►M4 ►C1 2922 43 00 ◄ ◄ | 118-92-3,2026-04-24T17:20:34+00:00
a7bdc65ab37371b7,111/2005,2,Piperidine,110-89-4,2933 32 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Piperidine | nan | 2933 32 00 | 110-89-4,2026-04-24T17:20:34+00:00
201621319a9434e4,111/2005,2,Potassium permanganate,7722-64-7,2841 61 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Potassium permanganate | nan | 2841 61 00 | 7722-64-7,2026-04-24T17:20:34+00:00
5220a5d06a805214,111/2005,3,Hydrochloric acid,7647-01-0,2806 10 00,Hydrogen chloride,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Hydrochloric acid | Hydrogen chloride | 2806 10 00 | 7647-01-0,2026-04-24T17:20:34+00:00
6c843518f48762db,111/2005,3,Sulphuric acid,7664-93-9,2807 00 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Sulphuric acid | nan | ►M4 2807 00 00 ◄ | 7664-93-9,2026-04-24T17:20:34+00:00
590986245abd430a,111/2005,3,Toluene,108-88-3,2902 30 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Toluene | nan | 2902 30 00 | 108-88-3,2026-04-24T17:20:34+00:00
8aeb3babffcad9be,111/2005,3,Ethyl ether,60-29-7,2909 11 00,Diethyl ether,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Ethyl ether | Diethyl ether | 2909 11 00 | 60-29-7,2026-04-24T17:20:34+00:00
11b124e76db95a02,111/2005,3,Acetone,67-64-1,2914 11 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Acetone | nan | 2914 11 00 | 67-64-1,2026-04-24T17:20:34+00:00
8156d8ce44d45c37,111/2005,3,Methylethylketone,78-93-3,2914 12 00,Butanone,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Methylethylketone | Butanone | 2914 12 00 | 78-93-3,2026-04-24T17:20:34+00:00
6e79ccb2a4bf7a99,111/2005,4,Medicinal products and veterinary medicinal products containing ephedrine or its salts,,3003 41 00,Containing ephedrine or its salts,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Medicinal products and veterinary medicinal products containing ephedrine or its salts | Containing ephedrine or its salts | ►M4 3003 41 00 ◄ ►M4 3004 41 00 ◄,2026-04-24T17:20:34+00:00
e0686726cec772a0,111/2005,4,Medicinal products and veterinary medicinal products containing pseudo-ephedrine or its salts,,3003 42 00,Containing pseudoephedrine (INN) or its salts,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Medicinal products and veterinary medicinal products containing pseudo-ephedrine or its salts | Containing pseudoephedrine (INN) or its salts | ►M4 3003 42 00 ◄ ►M4 3004 42 00 ◄,2026-04-24T17:20:34+00:00
